"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-19","6.93",",,W",,,"0.14",",,W,2400","1.2",",,W,2400","5.1",",,W,2400",,,"33",",,W","28",",,W",,,"   60",",,W","   50",",,W","17.0",",,W","21.9",",,W","    1",",,W",,,,,,,,,"    1",",,W","    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-20","8.05",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","5.9",",,W,2400",,,"35",",,W","26",",,W",,,"  300",",,W","  300",",,W","18.1",",,W","27.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-21","5.82",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","5.1",",,W,2400",,,"37",",,W","24",",,W",,,"  310",",,W","  290",",,W","13.0",",,W","18.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-22","3.36",",,W",,,"0.52",",,W,2400","0.4",",,W,2400","3.1",",,W,2400",,,"39",",,W","32",",,W",,,"  210",",,W","  100",",,W","14.1",",,W","28.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-23","6.04",",,W",,,"0.01",",,W,2400","0.0",",,W,2400","3.1",",,W,2400",,,"45",",,W","36",",,W",,,"  250",",,W","  300",",,W","16.1",",,W","25.1",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-24","6.49",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","2.0",",,W,2400",,,"54",",,W","39",",,W",,,"  230",",,W","  230",",,W","16.1",",,W","23.9",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-25","8.72",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"50",",,W","40",",,W",,,"  300",",,W","  310",",,W","21.0",",,W","35.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-26","4.25",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"45",",,W","33",",,W",,,"  150",",,W","  190",",,W","10.1",",,W","18.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-27","4.70",",,W",,,"0.39",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"50",",,W","38",",,W",,,"  250",",,W","  260",",,W","13.0",",,W","19.9",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-28","5.14",",,W",,,"0.22",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"45",",,W","41",",,W",,,"   60",",,W","  120",",,W","14.1",",,W","18.1",",,W","    1",",,W",,,,,,,,,,,,
